city,app_date,issue_date,project_type,work_scope,review_days
Austin,2026-09-15,2026-09-15,Single Family,New Construction,0
Austin,2026-09-11,2026-09-11,Single Family,New Construction,0
Austin,2026-09-01,2026-09-01,Single Family,New Construction,0
Austin,2026-08-20,2026-08-20,Single Family,New Construction,0
Austin,2026-08-20,2026-08-20,Single Family,New Construction,0
Austin,2026-08-18,2026-08-18,Single Family,New Construction,0
Austin,2026-08-13,2026-08-13,Single Family,New Construction,0
Austin,2026-08-13,2026-08-13,Single Family,New Construction,0
Austin,2026-07-23,2026-07-23,Single Family,New Construction,0
Austin,2026-07-21,2026-07-21,Single Family,New Construction,0
Austin,2026-07-21,2026-07-21,Single Family,New Construction,0
Austin,2026-07-21,2026-07-21,Single Family,New Construction,0
Austin,2026-07-17,2026-07-17,Single Family,New Construction,0
Austin,2026-07-17,2026-07-17,Single Family,New Construction,0
Austin,2026-07-15,2026-07-15,Single Family,New Construction,0
Austin,2026-07-10,2026-07-10,Single Family,New Construction,0
Austin,2026-07-09,2026-07-09,Single Family,New Construction,0
Austin,2026-07-07,2026-07-07,Single Family,New Construction,0
Austin,2026-07-07,2026-07-07,Single Family,New Construction,0
Austin,2026-07-07,2026-07-07,Single Family,New Construction,0
Austin,2026-07-06,2026-07-06,Single Family,New Construction,0
Austin,2026-07-06,2026-07-06,Single Family,New Construction,0
Austin,2026-06-30,2026-06-30,Single Family,New Construction,0
Austin,2026-06-29,2026-06-29,Single Family,New Construction,0
Austin,2026-06-26,2026-06-26,Single Family,New Construction,0
Austin,2026-06-23,2026-06-23,Single Family,New Construction,0
Austin,2026-06-23,2026-06-23,Single Family,New Construction,0
Austin,2026-06-23,2026-06-23,Single Family,New Construction,0
Austin,2026-06-22,2026-06-22,Single Family,New Construction,0
Austin,2026-06-15,2026-06-15,Single Family,New Construction,0
Austin,2026-06-15,2026-06-15,Single Family,New Construction,0
Austin,2026-06-12,2026-06-12,Single Family,New Construction,0
Austin,2026-06-05,2026-06-05,Single Family,New Construction,0
Austin,2026-06-04,2026-06-04,Single Family,New Construction,0
Austin,2026-06-01,2026-06-01,Single Family,New Construction,0
Austin,2026-05-28,2026-05-28,Single Family,New Construction,0
Austin,2026-05-26,2026-05-26,Single Family,New Construction,0
Austin,2026-05-26,2026-05-26,Single Family,New Construction,0
Austin,2026-05-26,2026-05-26,Single Family,New Construction,0
Austin,2026-05-21,2026-05-21,Single Family,New Construction,0
Austin,2026-05-21,2026-05-21,Single Family,New Construction,0
Austin,2026-05-19,2026-05-19,Single Family,New Construction,0
Austin,2026-05-19,2026-05-19,Single Family,New Construction,0
Austin,2026-05-18,2026-05-18,Single Family,New Construction,0
Austin,2026-05-18,2026-05-18,Single Family,New Construction,0
Austin,2026-05-16,2026-05-16,Single Family,New Construction,0
Austin,2026-05-15,2026-05-15,Single Family,New Construction,0
Austin,2026-05-15,2026-05-15,Single Family,New Construction,0
Austin,2026-05-14,2026-05-14,Single Family,New Construction,0
Austin,2026-05-08,2026-05-08,Single Family,New Construction,0
Austin,2026-05-08,2026-05-08,Single Family,New Construction,0
Austin,2026-05-08,2026-05-08,Single Family,New Construction,0
Austin,2026-05-07,2026-05-07,Single Family,New Construction,0
